university_name,wiki_url
IQRA National University,https://en.wikipedia.org/wiki/IQRA_National_University
Peshawar,https://en.wikipedia.org/wiki/Peshawar
Sarhad University of Science and Information Technology,https://en.wikipedia.org/wiki/Sarhad_University_of_Science_and_Information_Technology
Gomal University,https://en.wikipedia.org/wiki/Gomal_University
"University of Engineering and Technology, Mardan","https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology,_Mardan"
Muhammad Ali Jinnah University,https://en.wikipedia.org/wiki/Muhammad_Ali_Jinnah_University
Habib University,https://en.wikipedia.org/wiki/Habib_University
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,https://en.wikipedia.org/wiki/Shaheed_Zulfiqar_Ali_Bhutto_Institute_of_Science_and_Technology
Dawood University of Engineering and Technology,https://en.wikipedia.org/wiki/Dawood_University_of_Engineering_and_Technology
Karachi,https://en.wikipedia.org/wiki/Karachi
Indus University,https://en.wikipedia.org/wiki/Indus_University
DHA Suffa University,https://en.wikipedia.org/wiki/DHA_Suffa_University
Institute of Business Management,https://en.wikipedia.org/wiki/Institute_of_Business_Management
Institute of Industrial Electronics Engineering,https://en.wikipedia.org/wiki/Institute_of_Industrial_Electronics_Engineering
Mehran University of Engineering and Technology,https://en.wikipedia.org/wiki/Mehran_University_of_Engineering_and_Technology
NED University of Engineering and Technology,https://en.wikipedia.org/wiki/NED_University_of_Engineering_and_Technology
Karachi Institute of Economics and Technology,https://en.wikipedia.org/wiki/Karachi_Institute_of_Economics_and_Technology
"Quaid-e-Awam University of Engineering, Science and Technology","https://en.wikipedia.org/wiki/Quaid-e-Awam_University_of_Engineering,_Science_and_Technology"
Larkana,https://en.wikipedia.org/wiki/Larkana
"Thar Institute of Engineering, Science, and Technology, Tharparkar","https://en.wikipedia.org/wiki/Thar_Institute_of_Engineering,_Science,_and_Technology,_Tharparkar"
Sir Syed University of Engineering and Technology,https://en.wikipedia.org/wiki/Sir_Syed_University_of_Engineering_and_Technology
Sindh Agriculture University,https://en.wikipedia.org/wiki/Sindh_Agriculture_University
Sukkur IBA University,https://en.wikipedia.org/wiki/Sukkur_IBA_University
UIT University,https://en.wikipedia.org/wiki/UIT_University
University of Karachi,https://en.wikipedia.org/wiki/University_of_Karachi
Salim Habib University,https://en.wikipedia.org/wiki/Salim_Habib_University
Nazeer Hussain University,https://en.wikipedia.org/wiki/Nazeer_Hussain_University
University of Sindh,https://en.wikipedia.org/wiki/University_of_Sindh
Ziauddin University,https://en.wikipedia.org/wiki/Ziauddin_University
Balochistan University of Engineering and Technology,https://en.wikipedia.org/wiki/Balochistan_University_of_Engineering_and_Technology
"Balochistan University of Information Technology, Engineering and Management Sciences","https://en.wikipedia.org/wiki/Balochistan_University_of_Information_Technology,_Engineering_and_Management_Sciences"
Mirpur University of Science and Technology,https://en.wikipedia.org/wiki/Mirpur_University_of_Science_and_Technology
University of Azad Jammu and Kashmir,https://en.wikipedia.org/wiki/University_of_Azad_Jammu_and_Kashmir
Pakistan Engineering Council,https://en.wikipedia.org/wiki/Pakistan_Engineering_Council
Washington Accord,https://en.wikipedia.org/wiki/Washington_Accord_(credentials)
Regulation and licensure in engineering,https://en.wikipedia.org/wiki/Regulation_and_licensure_in_engineering
Higher Education Commission (Pakistan),https://en.wikipedia.org/wiki/Higher_Education_Commission_(Pakistan)
Mirpur University of Science & Technology,https://en.wikipedia.org/wiki/Mirpur_University_of_Science_%26_Technology
Air University Pakistan,https://en.wikipedia.org/wiki/Air_University_Pakistan
COMSATS Institute of Information Technology,https://en.wikipedia.org/wiki/COMSATS_Institute_of_Information_Technology
Federal Urdu University,https://en.wikipedia.org/wiki/Federal_Urdu_University
Institute of Environmental Sciences and Engineering,https://en.wikipedia.org/wiki/Institute_of_Environmental_Sciences_and_Engineering
Institute of Geographical Information Systems,https://en.wikipedia.org/wiki/Institute_of_Geographical_Information_Systems
NUST Institute of Civil Engineering,https://en.wikipedia.org/wiki/NUST_Institute_of_Civil_Engineering
NUST School of Electrical Engineering and Computer Science,https://en.wikipedia.org/wiki/NUST_School_of_Electrical_Engineering_and_Computer_Science
NUST School of Mechanical and Manufacturing Engineering,https://en.wikipedia.org/wiki/NUST_School_of_Mechanical_and_Manufacturing_Engineering
"University of Engineering & Technology, Peshawar","https://en.wikipedia.org/wiki/University_of_Engineering_%26_Technology,_Peshawar"
College of Aeronautical Engineering,https://en.wikipedia.org/wiki/College_of_Aeronautical_Engineering
Military College of Engineering (Pakistan),https://en.wikipedia.org/wiki/Military_College_of_Engineering_(Pakistan)
Muhammad Nawaz Sharif University of Engineering & Technology,https://en.wikipedia.org/wiki/Muhammad_Nawaz_Sharif_University_of_Engineering_%26_Technology
College of Electrical and Mechanical Engineering,https://en.wikipedia.org/wiki/College_of_Electrical_and_Mechanical_Engineering
Military College of Signals,https://en.wikipedia.org/wiki/Military_College_of_Signals
Khawaja Fareed University of Engineering and Information Technology,https://en.wikipedia.org/wiki/Khawaja_Fareed_University_of_Engineering_and_Information_Technology
NED University of Engineering & Technology,https://en.wikipedia.org/wiki/NED_University_of_Engineering_%26_Technology
Pakistan Navy Engineering College,https://en.wikipedia.org/wiki/Pakistan_Navy_Engineering_College
Usman Institute of Technology,https://en.wikipedia.org/wiki/Usman_Institute_of_Technology
Gilgit-Baltistan,https://en.wikipedia.org/wiki/Education_in_Gilgit-Baltistan
Khyber Pakhtunkhwa,https://en.wikipedia.org/wiki/Khyber_Pakhtunkhwa#Education
Punjab,"https://en.wikipedia.org/wiki/Punjab,_Pakistan#Education"
Sindh,https://en.wikipedia.org/wiki/Sindh#Education
Islamabad,https://en.wikipedia.org/wiki/Education_in_Islamabad
Karachi,https://en.wikipedia.org/wiki/Education_in_Karachi
Lahore,https://en.wikipedia.org/wiki/Education_in_Lahore
Lower Dir,https://en.wikipedia.org/wiki/Education_in_Lower_Dir_District
Madrassas,https://en.wikipedia.org/wiki/Madrassas_in_Pakistan
Ministry,https://en.wikipedia.org/wiki/Ministry_of_Federal_Education_and_Professional_Training
NAVTTC,https://en.wikipedia.org/wiki/National_Vocational_and_Technical_Training_Commission
NCH,https://en.wikipedia.org/wiki/National_Council_for_Homeopathy
PBC,https://en.wikipedia.org/wiki/Pakistan_Bar_Council
PCATP,https://en.wikipedia.org/wiki/Pakistan_Council_for_Architects_and_Town_Planners
PCP,https://en.wikipedia.org/wiki/Pharmacy_Council_of_Pakistan
PMDC,https://en.wikipedia.org/wiki/Pakistan_Medical_%26_Dental_Council
PNC,https://en.wikipedia.org/wiki/Pakistan_Nursing_Council
PVMC,https://en.wikipedia.org/wiki/Pakistan_Veterinary_Medical_Council
Abbottabad,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Abbottabad"
AJK,"https://en.wikipedia.org/wiki/AJK_Board_of_Intermediate_and_Secondary_Education,_Mirpur"
Bahawalpur,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Bahawalpur"
Bannu,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Bannu"
Catholic,"https://en.wikipedia.org/wiki/Catholic_Board_of_Education,_Pakistan"
Dera Ghazi Khan,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Dera_Ghazi_Khan"
Faisalabad,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Faisalabad"
Federal Board,https://en.wikipedia.org/wiki/Federal_Board_of_Intermediate_and_Secondary_Education
