university_name,wiki_url,website_url,programs_detected,offers_FEST,univ_key,program_id,university_id,university_name_fest,province,city,program_name,degree_level,field_category,duration_years,eligibility,fee_per_year,required_traits,apply_url,verified_by_HEC,ranking_tier
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00547,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BS Computer Science,Bachelors,IT,4.0,ICS/Pre-Eng ≥60% + admission test.,201249.0,"Analytical, Logical, Problem-solver",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00548,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BS Software Engineering,Bachelors,IT,4.0,ICS/Pre-Eng ≥60% + admission test.,201249.0,"Detail-oriented, Teamwork, Coding",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00549,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BS Data Science,Bachelors,IT,4.0,ICS ≥60% + admission test.,201249.0,"Quantitative, Curious, Analytical",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00550,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BS Artificial Intelligence,Bachelors,IT,4.0,ICS ≥60% + admission test.,201249.0,"Innovative, Analytical, Math-friendly",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00551,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,MS Computer Science,Masters,IT,2.0,16-year CS/SE/IT + GAT/test.,201249.0,"Research-minded, Persistent, Coding",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00552,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,PhD Computer Science,PhD,IT,3.0,MS/MPhil in CS or related + proposal.,201249.0,"Research, Persistence, Innovation",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00553,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BBA,Bachelors,Business,4.0,Intermediate ≥50–60% + test/interview.,192500.0,"Leadership, Communication, Problem-solving",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00554,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BS Accounting & Finance,Bachelors,Business,4.0,Intermediate ≥50–60% + test.,192500.0,"Quantitative, Detail-oriented, Integrity",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00555,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BS Economics,Bachelors,Business,4.0,Intermediate ≥60% + test.,192500.0,"Analytical, Quantitative, Research-minded",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00556,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,MBA,Masters,Business,2.0,16-year degree + test/interview.,192500.0,"Leadership, Strategy, Communication",https://islamabad.comsats.edu.pk/admissions,False,B
